中国合伙人独行月球,2022-07-29 09:00大陆上映,9.2,31.03
热辣滚烫,2024-02-10 09:00大陆上映,9.2,34.60
这个杀手不太冷静,2022-02-01 08:00大陆上映,9.1,26.27
复仇者联盟3：无限战争,2018-05-11大陆上映,9.0,23.90
我不是药神,2018-07-05大陆上映,9.6,31.00
长津湖,2021-09-30 09:30大陆上映,9.5,57.75
飞驰人生,2019-02-05大陆上映,8.8,17.28
你好，李焕英,2021-02-12 08:00大陆上映,9.5,54.13
速度与激情8,2017-04-14大陆上映,9.3,26.70
八角笼中,2023-07-06 09:00大陆上映,9.5,22.07
西游伏妖篇,2017-01-28大陆上映,7.7,16.52
熊出没·逆转时空,2024-02-10 09:00大陆上映,9.4,19.97
变形金刚5：最后的骑士,2017-06-23大陆上映,7.5,15.51
流浪地球2,2023-01-22 09:00大陆上映,9.3,40.29
孤注一掷,2023-08-08 09:00大陆上映,9.1,38.48
泰坦尼克号,1998-04-03大陆上映,9.6,13.65
速度与激情7,2015-04-12大陆上映,9.6,24.23
万里归途,2022-09-30 18:00大陆上映,9.5,15.93
复仇者联盟2：奥创纪元,2015-05-12大陆上映,8.6,14.61
流浪地球,2019-02-05大陆上映,9.2,46.87
长安三万里,2023-07-08 09:00大陆上映,9.4,18.24
哪吒之魔童降世,2019-07-26大陆上映,9.6,50.35
9
前任3：再见前任,2017-12-29大陆上映,9.1,19.41
变形金刚4：绝迹重生,2014-06-27大陆上映,9.2,19.76
羞羞的铁拳,2017-09-30大陆上映,9.1,22.13
封神第一部,2023-07-20 18:00大陆上映,9.4,26.34
功夫瑜伽,2017-01-28大陆上映,8.4,17.48
西虹市首富,2018-07-27大陆上映,9.2,25.47
魔兽,2016-06-08大陆上映,9.0,14.68
唐人街探案3,2021-02-12 08:00大陆上映,8.8,45.23
中国机长,2019-09-30大陆上映,9.4,29.13
西游·降魔篇,2013-02-10大陆上映,8.4,12.46
第二十条,2024-02-10 09:00大陆上映,9.5,24.54
复仇者联盟4：终局之战,2019-04-24大陆上映,9.1,42.50
姜子牙,2020-10-01 08:00大陆上映,8.3,16.03
港囧,2015-09-25大陆上映,8.4,16.11
芳华,2017-12-15大陆上映,9.0,14.22
阿凡达：水之道,2022-12-16大陆上映,9.0,16.98
穿过寒冬拥抱你,2021-12-31 18:00大陆上映,9.5,9.36
我和我的父辈,2021-09-30 18:00大陆上映,9.5,14.77
我和我的祖国,2019-09-30大陆上映,9.7,31.70
坚如磐石,2023-09-28 18:00大陆上映,8.7,13.51
无双,2018-09-30大陆上映,8.9,12.73
侏罗纪世界3,2022-06-10大陆上映,8.0,10.59
金刚川,2020-10-23 08:00大陆上映,9.4,11.27
熊出没·伴我“熊芯”,2023-01-22 09:00大陆上映,9.2,14.95
侏罗纪世界2,2018-06-15大陆上映,8.6,16.95
怒火·重案,2021-07-30大陆上映,9.3,13.29
摔跤吧！爸爸,2017-05-05大陆上映,9.8,12.99
金刚：骷髅岛,2017-03-24大陆上映,8.3,11.58
误杀,2019-12-13大陆上映,9.4,13.33
扫毒2天地对决,2019-07-05大陆上映,9.0,13.12
澳门风云3,2016-02-08大陆上映,6.9,11.16
疯狂动物城,2016-03-04大陆上映,9.5,15.31
奇迹·笨小孩,2022-02-01 08:00大陆上映,9.5,13.79
星球大战外传：侠盗一号,2017-01-06大陆上映,8.0,4.77
烈火英雄,2019-08-01大陆上映,9.4,17.06
寻梦环游记,2017-11-24大陆上映,9.6,12.30
送你一朵小红花,2020-12-31 18:00大陆上映,9.2,14.32
比悲伤更悲伤的故事,2019-03-14大陆上映,8.1,9.58
速度与激情9,2021-05-21大陆上映,7.9,13.92
速度与激情10,2023-05-17大陆上映,8.8,9.84
加勒比海盗5：死无对证,2017-05-26大陆上映,8.9,11.80
妖猫传,2017-12-22大陆上映,7.5,5.30
一出好戏,2018-08-10大陆上映,8.2,13.55
美国队长2,2014-04-04大陆上映,9.2,7.18
疯狂的外星人,2019-02-05大陆上映,8.5,22.13
盗墓笔记,2016-08-05大陆上映,8.0,10.03
海王,2018-12-07大陆上映,9.3,20.13
毒液：致命守护者,2018-11-09大陆上映,9.2,18.70
八佰,2020-08-21 09:00大陆上映,9.2,31.10
消失的她,2023-06-22 09:00大陆上映,9.2,35.23
西游记之孙悟空三打白骨精,2016-02-08大陆上映,7.7,11.98
蜘蛛侠：英雄远征,2019-06-28大陆上映,9.0,14.17
长城,2016-12-16大陆上映,8.4,11.73
红海行动,2018-02-16大陆上映,9.4,36.52
,5.2,10.44
杀破狼2,2015-06-18大陆上映,9.0,5.59
满江红,2023-01-22 09:00大陆上映,9.4,45.44
惊奇队长,2019-03-08大陆上映,8.7,10.35
美国队长3,2016-05-06大陆上映,8.6,12.43
阿凡达,2010-01-04大陆上映,9.4,17.15
寻龙诀,2015-12-18大陆上映,9.1,16.79
捉妖记,2015-07-16大陆上映,9.1,24.36
少年的你,2019-10-25大陆上映,9.4,15.58
战狼2,2017-07-27 20:01大陆上映,9.7,56.94
飞驰人生2,2024-02-10 09:00大陆上映,9.5,33.98
长津湖之水门桥,2022-02-01 08:00大陆上映,9.6,40.67
捉妖记2,2018-02-16 06:00大陆上映,8.2,22.37
我的姐姐,2021-04-02 18:00大陆上映,8.8,8.60
后来的我们,2018-04-28大陆上映,8.3,13.61
变形金刚3,2011-07-21大陆上映,8.6,10.70
狂暴巨兽,2018-04-13大陆上映,8.9,10.03
唐山大地震,2010-07-22大陆上映,8.3,6.49
新喜剧之王,2019-02-05大陆上映,8.0,6.27
拆弹专家2,2020-12-24 10:00大陆上映,9.2,13.14
哥斯拉大战金刚,2021-03-26 08:00大陆上映,8.9,12.32
火星救援,2015-11-25大陆上映,9.0,5.85
温暖的抱抱,2020-12-31 14:00大陆上映,8.5,8.64
大黄蜂,2019-01-04大陆上映,9.1,11.49
年会不能停！,2023-12-29 12:00大陆上映,9.6,12.92
心花路放,2014-09-30大陆上映,9.0,11.69
巨齿鲨,2018-08-10大陆上映,8.7,10.53
速度与激情：特别行动,2019-08-23大陆上映,8.7,14.34
侏罗纪世界,2015-06-10大陆上映,9.1,14.18
小时代3：刺金时代,2014-07-17大陆上映,7.6,5.20
明日战记,2022-08-05 10:00大陆上映,9.1,6.79
神秘巨星,2018-01-19大陆上映,9.3,7.47
乘风破浪,2017-01-28大陆上映,8.7,10.46
摆渡人,2016-12-23大陆上映,7.8,4.82
星际穿越,2014-11-12大陆上映,9.3,8.76
寒战2,2016-07-08大陆上映,8.6,6.76
夏洛特烦恼,2015-09-30大陆上映,9.3,14.44
攀登者,2019-09-30大陆上映,9.4,11.04
中国医生,2021-07-09大陆上映,9.3,13.28
反贪风暴4,2019-04-04大陆上映,9.0,7.99
千与千寻,2019-06-21大陆上映,9.3,4.88
X战警：天启,2016-06-03大陆上映,8.9,8.00
碟中谍6：全面瓦解,2018-08-31大陆上映,9.0,12.45
银河补习班,2019-07-18大陆上映,9.4,8.78
澳门风云2,2015-02-19大陆上映,8.7,9.72
狮子王,2019-07-12大陆上映,8.8,8.33
奇幻森林,2016-04-15大陆上映,8.9,9.76
新木乃伊,2017-06-09大陆上映,7.1,6.25
霍比特人3：五军之战,2015-01-23大陆上映,9.1,7.61
一闪一闪亮星星,2023-12-30 10:00大陆上映,8.9,7.02
叶问4：完结篇,2019-12-20大陆上映,9.3,11.81
王牌特工：特工学院,2015-03-27大陆上映,9.2,4.83
恶棍天使,2015-12-24大陆上映,8.0,6.48
绿皮书,2019-03-01大陆上映,9.5,4.78
王牌特工2：黄金圈,2017-10-20大陆上映,8.7,4.74
老炮儿,2015-12-24大陆上映,9.1,9.01
湄公河行动,2016-09-30大陆上映,9.3,11.86
无问西东,2018-01-12大陆上映,8.6,7.54
四海,2022-02-01 08:00大陆上映,8.6,5.42
误杀2,2021-12-17 18:00大陆上映,9.0,11.21
扬名立万,2021-11-11 18:00大陆上映,9.1,9.26
莫斯科行动,2023-09-29 09:00大陆上映,9.1,6.64
悟空传,2017-07-13大陆上映,7.7,6.96
北京遇上西雅图之不二情书,2016-04-29大陆上映,8.5,7.85
叶问3,2016-03-04大陆上映,8.4,7.69
哥斯拉2：怪兽之王,2019-05-31大陆上映,8.5,9.37
熊出没·重返地球,2022-02-01 08:00大陆上映,9.4,9.77
大侦探皮卡丘,2019-05-10大陆上映,8.6,6.40
煎饼侠,2015-07-17大陆上映,8.5,11.60
智取威虎山,2014-12-23大陆上映,9.2,8.83
保你平安,2023-03-10 09:00大陆上映,9.3,7.00
蝙蝠侠大战超人：正义黎明,2016-03-25大陆上映,8.0,6.18
生化危机：终章,2017-02-24大陆上映,8.5,11.09
维和防暴队,2024-05-01 09:00大陆上映,8.8,4.72
哥斯拉大战金刚2：帝国崛起,2024-03-29 09:00大陆上映,9.4,9.50
私人订制,2013-12-19大陆上映,7.4,7.13
黑豹,2018-03-09大陆上映,8.4,6.62
澳门风云,2014-01-31大陆上映,8.6,5.24
夺冠,2020-09-25 18:00大陆上映,8.9,8.36
猩球崛起3：终极之战,2017-09-15大陆上映,8.2,7.40
正义联盟,2017-11-17大陆上映,8.6,6.90
